age;duration;campaign;pdays;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;job;marital;education;default;housing;loan;contact;month;day_of_week;previous;poutcome;y
56;261;1;999;1.1;93.994;-36.4;4.857;5191;housemaid;married;basic.4y;no;no;no;telephone;may;mon;0;nonexistent;1
57;149;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;unknown;no;no;telephone;may;mon;0;nonexistent;1
37;226;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
40;151;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;basic.6y;no;no;no;telephone;may;mon;0;nonexistent;1
56;307;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;yes;telephone;may;mon;0;nonexistent;1
45;198;1;999;1.1;93.994;-36.4;4.857;5191;services;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
59;139;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
41;217;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
24;380;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;professional.course;no;yes;no;telephone;may;mon;0;nonexistent;1
25;50;1;999;1.1;93.994;-36.4;4.857;5191;services;single;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
41;55;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;0;nonexistent;1
25;222;1;999;1.1;93.994;-36.4;4.857;5191;services;single;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
29;137;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;single;high.school;no;no;yes;telephone;may;mon;0;nonexistent;1
57;293;1;999;1.1;93.994;-36.4;4.857;5191;housemaid;divorced;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
35;146;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;0;nonexistent;1
54;174;1;999;1.1;93.994;-36.4;4.857;5191;retired;married;basic.9y;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
35;312;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;0;nonexistent;1
46;440;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.6y;unknown;yes;yes;telephone;may;mon;0;nonexistent;1
50;353;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;0;nonexistent;1
39;195;1;999;1.1;93.994;-36.4;4.857;5191;management;single;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
30;38;1;999;1.1;93.994;-36.4;4.857;5191;unemployed;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
55;262;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
55;342;1;999;1.1;93.994;-36.4;4.857;5191;retired;single;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
41;181;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
37;172;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
35;99;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;university.degree;no;no;yes;telephone;may;mon;0;nonexistent;1
59;93;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
39;233;1;999;1.1;93.994;-36.4;4.857;5191;self-employed;married;basic.9y;unknown;no;no;telephone;may;mon;0;nonexistent;1
54;255;2;999;1.1;93.994;-36.4;4.857;5191;technician;single;university.degree;unknown;no;no;telephone;may;mon;0;nonexistent;1
55;362;1;999;1.1;93.994;-36.4;4.857;5191;unknown;married;university.degree;unknown;unknown;unknown;telephone;may;mon;0;nonexistent;1
46;348;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;unknown;no;no;no;telephone;may;mon;0;nonexistent;1
59;386;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;unknown;no;yes;no;telephone;may;mon;0;nonexistent;1
49;73;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;married;unknown;no;no;no;telephone;may;mon;0;nonexistent;1
54;230;1;999;1.1;93.994;-36.4;4.857;5191;management;married;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
54;208;1;999;1.1;93.994;-36.4;4.857;5191;blue-collar;divorced;basic.4y;no;no;no;telephone;may;mon;0;nonexistent;1
55;336;1;999;1.1;93.994;-36.4;4.857;5191;unknown;married;basic.4y;unknown;yes;no;telephone;may;mon;0;nonexistent;1
34;365;1;999;1.1;93.994;-36.4;4.857;5191;services;married;high.school;no;no;no;telephone;may;mon;0;nonexistent;1
52;1666;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;basic.9y;no;yes;no;telephone;may;mon;0;nonexistent;1
41;577;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
56;137;1;999;1.1;93.994;-36.4;4.857;5191;technician;married;basic.4y;no;yes;no;telephone;may;mon;0;nonexistent;1
58;366;1;999;1.1;93.994;-36.4;4.857;5191;management;unknown;university.degree;no;yes;no;telephone;may;mon;0;nonexistent;1
32;314;1;999;1.1;93.994;-36.4;4.857;5191;entrepreneur;married;high.school;no;yes;no;telephone;may;mon;0;nonexistent;1
38;160;1;999;1.1;93.994;-36.4;4.857;5191;admin.;single;professional.course;no;no;no;telephone;may;mon;0;nonexistent;1
57;212;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;no;yes;telephone;may;mon;0;nonexistent;1
44;188;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;0;nonexistent;1
42;22;1;999;1.1;93.994;-36.4;4.857;5191;technician;single;professional.course;unknown;no;no;telephone;may;mon;0;nonexistent;1
57;616;1;999;1.1;93.994;-36.4;4.857;5191;admin.;married;university.degree;no;yes;yes;telephone;may;mon;0;nonexistent;1
